id,publicCode,collectorNumber,name,set_id,set_label,rarity_id,rarity_label,cardType,superType,domain,energy,might,power,tags,ability_text,accessibilityText,illustrator,orientation,cardImage_url
ven-sp6-006,VEN-SP6/006,6,"Lux, Crownguard",VEN,Vendetta,epic,Epic,Unit,Champion,Order,4,2,,Lux,:rb_exhaust:: [Reaction] — [Add] :rb_energy_2:. Spend this Energy only to play spells.,"Riftbound Unit: Lux, Crownguard. [T]: [Reaction] — [Add] [2]. Spend this Energy only to play spells.",Envar Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b9778ec229e052268ea66213ca2dbf60612b2862-744x1039.png?accountingTag=RB
ven-006-166,VEN-006/166,6,Oasis Raider,VEN,Vendetta,common,Common,Unit,,Fury,4,4,,Shurima,"If you control fewer runes than an opponent at the start of your Beginning Phase, give me +2 :rb_might: and [Ganking] this turn. (I can move from battlefield to battlefield.)","Riftbound Unit: Oasis Raider. If you control fewer runes than an opponent at the start of your Beginning Phase, give me +2 [S] and [Ganking] this turn. (I can move from battlefield to battlefield.)",JiHun Lee,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d44355b9b129054e63b6f2c8de30518fe87b6295-744x1039.png?accountingTag=RB
ven-r06,VEN-R06,6,Order Rune,VEN,Vendetta,common,Common,Rune,Basic,Order,,,,,[NO TEXT],Riftbound Rune: Order Rune. [NO TEXT],Greg Ghielmetti & Leah Chen,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/71e7d71ebadb81ccad7ca4cb8b3fb85d2f5fd4bf-744x1039.png?accountingTag=RB
ven-007-166,VEN-007/166,7,Punching Poro,VEN,Vendetta,common,Common,Unit,,Fury,2,2,,"Poro, Ionia","[Empower] — Discard 1 (Pay the cost: Empower me. Use only if not Empowered.)
[Empowered][>] I have +1 :rb_might:.","Riftbound Unit: Punching Poro. [Empower] — Discard 1 (Pay the cost: Empower me. Use only if not Empowered.)
[Empowered][>] I have +1 [S].",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/03b9a8e704e0f09b686d89d4c2d79f100f212b0f-744x1039.png?accountingTag=RB
ven-008-166,VEN-008/166,8,Ruthless Strike,VEN,Vendetta,common,Common,Spell,,Fury,3,,,,"[Action] (Play on your turn or in showdowns.)
As an additional cost to play this, you may discard 1.
Deal 3 to a unit at a battlefield. If you paid the additional cost, deal 5 to it instead.","Riftbound Spell: Ruthless Strike. [Action] (Play on your turn or in showdowns.)
As an additional cost to play this, you may discard 1.
Deal 3 to a unit at a battlefield. If you paid the additional cost, deal 5 to it instead.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/90293ef9407950d171f5fdd040da289a0f6da487-744x1039.png?accountingTag=RB
ven-009-166,VEN-009/166,9,Baccai Reaper,VEN,Vendetta,uncommon,Uncommon,Unit,,Fury,3,4,1,Shurima,"When I attack, you may pay :rb_rune_fury: to give me [Assault 2] this turn. (+2 :rb_might: while I'm an attacker.)","Riftbound Unit: Baccai Reaper. When I attack, you may pay [C] to give me [Assault 2] this turn. (+2 [S] while I'm an attacker.)",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/14c473be38b3ec40503f44555db9a4168a45bfb4-744x1039.png?accountingTag=RB
ven-010-166,VEN-010/166,10,Consuming Curse,VEN,Vendetta,uncommon,Uncommon,Spell,,Fury,2,,,,"[Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield. This deals 1 Bonus Damage for each card with this name in your trash.","Riftbound Spell: Consuming Curse. [Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield. This deals 1 Bonus Damage for each card with this name in your trash.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4254a96c88275f09c2c41653d46702125bc24d9f-744x1039.png?accountingTag=RB
ven-011-166,VEN-011/166,11,Pendulum Blade,VEN,Vendetta,uncommon,Uncommon,Gear,,Fury,3,,,Equipment,[Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.),Riftbound Gear: Pendulum Blade. [Equip] [C] ([C]: Attach this to a unit you control.),Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/857a5cee28f403454b1825dd112c07e9ac06b8a4-744x1039.png?accountingTag=RB
ven-012-166,VEN-012/166,12,Perfect Execution,VEN,Vendetta,uncommon,Uncommon,Spell,,Fury,3,,1,,"Ready a unit and give it [Assault 3] this turn. (+3 :rb_might: while it's an attacker.)
[Flow] :rb_energy_3::rb_rune_fury: (You may play this from your trash for its Flow cost. Then banish it.)","Riftbound Spell: Perfect Execution. Ready a unit and give it [Assault 3] this turn. (+3 [S] while it's an attacker.)
[Flow] [3][C] (You may play this from your trash for its Flow cost. Then banish it.)",莺之歌,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cb13c46f8c3872678b87f68891d9f4a416ba8080-744x1039.png?accountingTag=RB
ven-013-166,VEN-013/166,13,Shadow Assassin,VEN,Vendetta,uncommon,Uncommon,Unit,,Fury,5,5,,Ionia,I enter ready if you have a card with my name in your trash.,Riftbound Unit: Shadow Assassin. I enter ready if you have a card with my name in your trash.,JiHun Lee,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d5c1aed33b6aa109ff2baea8b3e0c146af750dcc-744x1039.png?accountingTag=RB
ven-014-166,VEN-014/166,14,Shadow Fiend,VEN,Vendetta,uncommon,Uncommon,Unit,,Fury,2,2,,Ionia,"[Empower] :rb_energy_2::rb_rune_fury: (:rb_energy_2::rb_rune_fury:: Empower me. Use only if not Empowered.)
[Empowered][>] I have [Assault 3]. (+3 :rb_might: while I'm an attacker.)","Riftbound Unit: Shadow Fiend. [Empower] [2][C] ([2][C]: Empower me. Use only if not Empowered.)
[Empowered][>] I have [Assault 3]. (+3 [S] while I'm an attacker.)",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3bbeed15ac517c2e39c039e376553ce7e1c65f0c-744x1039.png?accountingTag=RB
ven-015-166,VEN-015/166,15,Decree of Rage,VEN,Vendetta,rare,Rare,Spell,,Fury,1,,1,,"[Action] (Play on your turn or in showdowns.)
This can't be countered.
Deal 4 to an enemy Calm (:rb_rune_calm:) unit.","Riftbound Spell: Decree of Rage. [Action] (Play on your turn or in showdowns.)
This can't be countered.
Deal 4 to an enemy Calm ([G]) unit.",Envar Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/320d9f52a4f22fa3405bb9da82c4d02451d7c133-744x1039.png?accountingTag=RB
ven-016-166,VEN-016/166,16,Eclipse Dragon,VEN,Vendetta,rare,Rare,Unit,,Fury,8,8,,"Dragon, Mount Targon","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.)
When I move, if you control 4 or fewer runes, draw 1.","Riftbound Unit: Eclipse Dragon. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
When I move, if you control 4 or fewer runes, draw 1.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/6b7ea97973ced0e0631554ff07c726fe0a257a3c-744x1039.png?accountingTag=RB
ven-017-166,VEN-017/166,17,"Morgana, Vindictive",VEN,Vendetta,rare,Rare,Unit,Champion,Fury,5,5,1,"Demacia, Morgana","[Ambush] (You may play me as a [Reaction] to a battlefield where you have units.)
When you play me, deal damage to a unit equal to the damage marked on it.","Riftbound Unit: Morgana, Vindictive. [Ambush] (You may play me as a [Reaction] to a battlefield where you have units.)
When you play me, deal damage to a unit equal to the damage marked on it.",Envar Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/04f3ff3a25b08c9af33090e7a533396583f5e433-744x1039.png?accountingTag=RB
ven-018-166,VEN-018/166,18,Rage Amplifier,VEN,Vendetta,rare,Rare,Gear,,Fury,4,,1,,"[Empower] :rb_energy_6::rb_rune_fury: (:rb_energy_6::rb_rune_fury:: Empower this. Use only if not Empowered.)
Your units have +1 :rb_might:. If I'm [Empowered], they have +2 :rb_might: instead.","Riftbound Gear: Rage Amplifier. [Empower] [6][C] ([6][C]: Empower this. Use only if not Empowered.)
Your units have +1 [S]. If I'm [Empowered], they have +2 [S] instead.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/83a7cd497dd42f535f8f0adc72c3c4324f9aec14-744x1039.png?accountingTag=RB
ven-019a-166,VEN-019a/166,19,"Renekton, Rage Fueled",VEN,Vendetta,rare,Rare,Unit,Champion,Fury,6,6,,Renekton,"[Accelerate]
When I attack, if you control 4 or fewer runes, deal 2 to all enemy units here.","Riftbound Unit: Renekton, Rage Fueled. [Accelerate]
When I attack, if you control 4 or fewer runes, deal 2 to all enemy units here.",League Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cf5a7294a9ebd2d5a8727078efbfd2cf84f12e3e-744x1039.png?accountingTag=RB
ven-019-166,VEN-019/166,19,"Renekton, Rage Fueled",VEN,Vendetta,rare,Rare,Unit,Champion,Fury,6,6,,"Shurima, Renekton","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.)
When I attack, if you control 4 or fewer runes, deal 2 to all enemy units here.","Riftbound Unit: Renekton, Rage Fueled. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
When I attack, if you control 4 or fewer runes, deal 2 to all enemy units here.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2f6eb3e8328048ad52617c8639ecbe2c287efa36-744x1039.png?accountingTag=RB
ven-020-166,VEN-020/166,20,Twilight Reveler,VEN,Vendetta,rare,Rare,Unit,,Fury,3,3,,Ionia,"When I attack, ready another friendly unit.","Riftbound Unit: Twilight Reveler. When I attack, ready another friendly unit.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c9b3acfc3f996d784d1b5f98ab87ba4d1c6136ce-744x1039.png?accountingTag=RB
ven-021a-166,VEN-021a/166,21,"Akali, Deadly Weapon",VEN,Vendetta,epic,Epic,Unit,Champion,Fury,3,3,,Akali,"[Empower] :rb_energy_2::rb_rune_fury:
When I move, you may deal 1 to a unit at a battlefield I moved to or from. If I'm [Empowered], deal 2 instead.
[Empowered][>] I have +1 :rb_might:..","Riftbound Unit: Akali, Deadly Weapon. [Empower] [2][C]
When I move, you may deal 1 to a unit at a battlefield I moved to or from. If I'm [Empowered], deal 2 instead.
[Empowered][>] I have +1 [S]..",Wild Rift Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/92d8ad4bc4724da89f32348f290600f632f24e9e-744x1039.png?accountingTag=RB
ven-021-166,VEN-021/166,21,"Akali, Deadly Weapon",VEN,Vendetta,epic,Epic,Unit,Champion,Fury,3,3,,"Ionia, Akali","[Empower] :rb_energy_2::rb_rune_fury: (:rb_energy_2::rb_rune_fury:: Empower me. Use only if not Empowered.)
When I move, you may deal 1 to a unit at a battlefield I moved to or from. If I'm [Empowered], deal 2 instead.
[Empowered][>] I have +1 :rb_might:.","Riftbound Unit: Akali, Deadly Weapon. [Empower] [2][C] ([2][C]: Empower me. Use only if not Empowered.)
When I move, you may deal 1 to a unit at a battlefield I moved to or from. If I'm [Empowered], deal 2 instead.
[Empowered][>] I have +1 [S].",莺之歌,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/564e5f35ae39b6604290e83f39ffb61c2b2b9175-744x1039.png?accountingTag=RB
ven-022-166,VEN-022/166,22,Endless Riches,VEN,Vendetta,epic,Epic,Gear,,Fury,5,,1,,"When you play this, banish your hand and trash, then [Burn 7].
Skip your Draw Phase.
You may play cards from your trash.
If a card would go to your trash from anywhere other than your Main Deck, banish it instead.","Riftbound Gear: Endless Riches. When you play this, banish your hand and trash, then [Burn 7].
Skip your Draw Phase.
You may play cards from your trash.
If a card would go to your trash from anywhere other than your Main Deck, banish it instead.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e2c33bf55162086acd458775a5db3d976f137b61-744x1039.png?accountingTag=RB
ven-023-166,VEN-023/166,23,"Zed, From the Shadows",VEN,Vendetta,epic,Epic,Unit,Champion,Fury,4,4,1,"Ionia, Zed","You may discard 1 as an additional cost to play me.
When you play me, if you paid the additional cost, play a 0 :rb_might: Shadow Clone unit token. (It has ""When I attack, you may banish a unit from your trash. If you do, give me [Assault 4] this turn."")","Riftbound Unit: Zed, From the Shadows. You may discard 1 as an additional cost to play me.
When you play me, if you paid the additional cost, play a 0 [S] Shadow Clone unit token. (It has ""When I attack, you may banish a unit from your trash. If you do, give me [Assault 4] this turn."")",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/06793f17adbd827e468db40d644eb273a3932c7e-744x1039.png?accountingTag=RB
ven-023a-166,VEN-023a/166,23,"Zed, From the Shadows",VEN,Vendetta,epic,Epic,Unit,Champion,Fury,4,4,1,Zed,"You may discard 1 as an additional cost to play me.
When you play me, if you paid the additional cost, play a 0 :rb_might: Shadow Clone unit token.","Riftbound Unit: Zed, From the Shadows. You may discard 1 as an additional cost to play me.
When you play me, if you paid the additional cost, play a 0 [S] Shadow Clone unit token.",League Splash Team,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/dcf031bd69c4880c33d68f73dde8e391a6059be7-744x1039.png?accountingTag=RB
ven-024-166,VEN-024/166,24,Affectionate Poro,VEN,Vendetta,common,Common,Unit,,Calm,3,3,,"Poro, Noxus","When a combat that I was in ends, if I haven't been dealt damage this turn, draw 1.","Riftbound Unit: Affectionate Poro. When a combat that I was in ends, if I haven't been dealt damage this turn, draw 1.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/aa5fdc995322af38f540629fcf695f1080a14afb-744x1039.png?accountingTag=RB
ven-025-166,VEN-025/166,25,Esteemed Hierophant,VEN,Vendetta,common,Common,Unit,,Calm,5,5,,Shurima,"While you control 7 or more runes, prevent all damage that enemy spells and abilities would deal to me.","Riftbound Unit: Esteemed Hierophant. While you control 7 or more runes, prevent all damage that enemy spells and abilities would deal to me.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b47621d2b8efcee4d17de40b16c61fa06e404a2a-744x1039.png?accountingTag=RB
ven-026-166,VEN-026/166,26,Field Musicians,VEN,Vendetta,common,Common,Unit,,Calm,4,3,,Ionia,"When you play me, give a unit +3 :rb_might: this turn.","Riftbound Unit: Field Musicians. When you play me, give a unit +3 [S] this turn.",Six More Vodka,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e880946b6c99023d9fb1e9aa7d23a0c673b0f6ac-744x1039.png?accountingTag=RB
ven-027-166,VEN-027/166,27,Hand Hammer,VEN,Vendetta,common,Common,Gear,,Calm,2,,,Equipment,[Equip] :rb_rune_calm: (:rb_rune_calm:: Attach this to a unit you control.),Riftbound Gear: Hand Hammer. [Equip] [C] ([C]: Attach this to a unit you control.),Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/524fedb9116db0eb62380c03e0853c342c53daeb-744x1039.png?accountingTag=RB
ven-028-166,VEN-028/166,28,Mournful Witness,VEN,Vendetta,common,Common,Unit,,Calm,2,2,,"Fae, Ionia","When a combat that I was in ends, empower me. (I become Empowered if I'm not already.)
[Empowered][>] I have +2 :rb_might:.","Riftbound Unit: Mournful Witness. When a combat that I was in ends, empower me. (I become Empowered if I'm not already.)
[Empowered][>] I have +2 [S].",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2f31651fc37a3e8bc562d0a361c509c0998d82c8-744x1039.png?accountingTag=RB
ven-029-166,VEN-029/166,29,Ol' Poro,VEN,Vendetta,common,Common,Unit,,Calm,2,4,,"Poro, Bandle City","I can't be played on your first, second, or third turns.","Riftbound Unit: Ol' Poro. I can't be played on your first, second, or third turns.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/267fdc483ff8c740779f23eb8f965105feb030cd-744x1039.png?accountingTag=RB
ven-030-166,VEN-030/166,30,Serene Ascetic,VEN,Vendetta,common,Common,Unit,,Calm,3,3,,Ionia,"[Empower] :rb_energy_3: (:rb_energy_3:: Empower me. Use only if not Empowered.)
[Empowered][>] I have [Deflect] and [Shield 3]. (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.+3 :rb_might: while I'm a defender.)","Riftbound Unit: Serene Ascetic. [Empower] [3] ([3]: Empower me. Use only if not Empowered.)
[Empowered][>] I have [Deflect] and [Shield 3]. (Opponents must pay [A] to choose me with a spell or ability.+3 [S] while I'm a defender.)",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7acc2f9fcdec5d2649e4a50dc3c96aeb31b87916-744x1039.png?accountingTag=RB
ven-031-166,VEN-031/166,31,Twilight Shroud,VEN,Vendetta,common,Common,Spell,,Calm,1,,,,"Give a friendly unit +1 :rb_might: this turn. It can't be chosen by enemy spells and abilities this turn.
[Flow] :rb_energy_2: (You may play this from your trash for its Flow cost. Then banish it.)","Riftbound Spell: Twilight Shroud. Give a friendly unit +1 [S] this turn. It can't be chosen by enemy spells and abilities this turn.
[Flow] [2] (You may play this from your trash for its Flow cost. Then banish it.)",小牛设计,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0bd93298503d6b1b2f6faf7e97ab494e6e26db76-744x1039.png?accountingTag=RB
ven-032-166,VEN-032/166,32,Frostcoat Mother,VEN,Vendetta,uncommon,Uncommon,Unit,,Calm,3,3,,"Dog, Freljord","[Empower] :rb_energy_12:. This ability costs :rb_energy_1: less for each rune you control. (Pay the cost: Empower me. Use only if not Empowered.)
[Empowered][>] I have +3 :rb_might:.","Riftbound Unit: Frostcoat Mother. [Empower] [12]. This ability costs [1] less for each rune you control. (Pay the cost: Empower me. Use only if not Empowered.)
[Empowered][>] I have +3 [S].",Caravan Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/38e2b4f12346a1af420f875c0a5f922c56c4140f-744x1039.png?accountingTag=RB
ven-033-166,VEN-033/166,33,Pakaa Protector,VEN,Vendetta,uncommon,Uncommon,Unit,,Calm,5,4,,"Cat, Shurima","When I move, reveal the top card of your Main Deck. If it's a unit, draw it. Otherwise, put it in your trash and give me +2 :rb_might: this turn.","Riftbound Unit: Pakaa Protector. When I move, reveal the top card of your Main Deck. If it's a unit, draw it. Otherwise, put it in your trash and give me +2 [S] this turn.",Bubble Cat Studio,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ab3be32adadb72831c07750d8defc7918fd32d96-744x1039.png?accountingTag=RB
ven-034-166,VEN-034/166,34,Resonating Strike,VEN,Vendetta,uncommon,Uncommon,Spell,,Calm,2,,1,,"[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.)
[Reaction] (Play on your turn or in showdowns.)
Choose a battlefield you control and a unit you control at a different location. Move that unit to that battlefield and give it +2 :rb_might: this turn.","Riftbound Spell: Resonating Strike. [Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play on your turn or in showdowns.)
Choose a battlefield you control and a unit you control at a different location. Move that unit to that battlefield and give it +2 [S] this turn.",Kudos Productions,portrait,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1a625de128019d65d41dd0af4f8d189d5de530a5-744x1039.png?accountingTag=RB
